T/s	S(T)/ms-2
2.8	1.516287771
2.81	1.51089173
2.82	1.505533957
2.83	1.500214049
2.84	1.494931606
2.85	1.489686232
2.86	1.484477538
2.87	1.479305143
2.88	1.474168667
2.89	1.469067737
2.9	1.464001986
2.91	1.458971052
2.92	1.453974575
2.93	1.449012205
2.94	1.444083592
2.95	1.439188393
2.96	1.43432627
2.97	1.429496889
2.98	1.424699919
2.99	1.419935037
3	1.41520192
3.01	1.410500252
3.02	1.405829722
3.03	1.40119002
3.04	1.396580842
3.05	1.392001889
3.06	1.387452863
3.07	1.382933472
3.08	1.378443429
3.09	1.373982447
3.1	1.369550245
3.11	1.365146547
3.12	1.360771077
3.13	1.356423565
3.14	1.352103745
3.15	1.347811352
3.16	1.343546127
3.17	1.339307811
3.18	1.335096151
3.19	1.330910897
3.2	1.3267518
3.21	1.322618617
3.22	1.318511106
3.23	1.314429028
3.24	1.310372148
3.25	1.306340234
3.26	1.302333055
3.27	1.298350385
3.28	1.294392
3.29	1.290457678
3.3	1.2865472
3.31	1.28266035
3.32	1.278796916
3.33	1.274956685
3.34	1.271139449
3.35	1.267345003
3.36	1.263573143
3.37	1.259823668
3.38	1.256096379
3.39	1.25239108
3.4	1.248707576
3.41	1.245045677
3.42	1.241405193
3.43	1.237785936
3.44	1.234187721
3.45	1.230610365
3.46	1.227053688
3.47	1.22351751
3.48	1.220001655
3.49	1.216505948
3.5	1.213030217
3.51	1.209574291
3.52	1.206138
3.53	1.202721178
3.54	1.199323661
3.55	1.195945285
3.56	1.192585888
3.57	1.189245311
3.58	1.185923397
3.59	1.182619989
3.6	1.179334933
3.61	1.176068078
3.62	1.172819271
3.63	1.169588364
3.64	1.166375209
3.65	1.16317966
3.66	1.160001574
3.67	1.156840807
3.68	1.153697217
3.69	1.150570667
3.7	1.147461016
3.71	1.144368129
3.72	1.141291871
3.73	1.138232107
3.74	1.135188706
3.75	1.132161536
3.76	1.129150468
3.77	1.126155374
3.78	1.123176127
3.79	1.120212602
3.8	1.117264674
3.81	1.11433222
3.82	1.11141512
3.83	1.108513253
3.84	1.1056265
3.85	1.102754743
3.86	1.099897865
3.87	1.097055752
3.88	1.094228289
3.89	1.091415362
3.9	1.088616862
3.91	1.085832675
3.92	1.083062694
3.93	1.080306809
3.94	1.077564914
3.95	1.074836901
3.96	1.072122667
3.97	1.069422106
3.98	1.066735116
3.99	1.064061594
4	1.06140144
4.01	1.058754554
4.02	1.056120836
4.03	1.053500189
4.04	1.050892515
4.05	1.048297719
4.06	1.045715704
4.07	1.043146378
4.08	1.040589647
4.09	1.038045418
4.1	1.0355136
4.11	1.032994102
4.12	1.030486835
4.13	1.027991709
4.14	1.025508638
4.15	1.023037533
4.16	1.020578308
4.17	1.018130878
4.18	1.015695158
4.19	1.013271064
4.2	1.010858514
4.21	1.008457425
4.22	1.006067716
4.23	1.003689305
4.24	1.001322113
4.25	0.998966061
4.26	0.99662107
4.27	0.994287063
4.28	0.991963963
4.29	0.989651692
4.3	0.987350177
4.31	0.985059341
4.32	0.982779111
4.33	0.980509413
4.34	0.978250175
4.35	0.976001324
4.36	0.973762789
4.37	0.971534499
4.38	0.969316384
4.39	0.967108374
4.4	0.9649104
4.41	0.962722395
4.42	0.96054429
4.43	0.958376018
4.44	0.956217514
4.45	0.95406871
4.46	0.951929543
4.47	0.949799946
4.48	0.947679857
4.49	0.945569212
4.5	0.943467947
4.51	0.941376
4.52	0.93929331
4.53	0.937219815
4.54	0.935155454
4.55	0.933100167
4.56	0.931053895
4.57	0.929016578
4.58	0.926988157
4.59	0.924968575
4.6	0.922957774
4.61	0.920955696
4.62	0.918962286
4.63	0.916977486
4.64	0.915001241
4.65	0.913033497
4.66	0.911074197
4.67	0.909123289
4.68	0.907180718
4.69	0.905246431
4.7	0.903320374
4.71	0.901402497
4.72	0.899492746
4.73	0.89759107
4.74	0.895697418
4.75	0.893811739
4.76	0.891933983
4.77	0.890064101
4.78	0.888202042
4.79	0.886347758
4.8	0.8845012
4.81	0.88266232
4.82	0.880831071
4.83	0.879007404
4.84	0.877191273
4.85	0.875382631
4.86	0.873581432
4.87	0.87178763
4.88	0.87000118
4.89	0.868222037
4.9	0.866450155
4.91	0.864685491
4.92	0.862928
4.93	0.861177639
4.94	0.859434364
4.95	0.857698133
4.96	0.855968903
4.97	0.854246632
4.98	0.852531277
4.99	0.850822798
5	0.849121152
5.01	0.847426299
5.02	0.845738199
5.03	0.844056811
5.04	0.842382095
5.05	0.840714012
5.06	0.839052522
5.07	0.837397586
5.08	0.835749165
5.09	0.834107222
5.1	0.832471718
5.11	0.830842614
5.12	0.829219875
5.13	0.827603462
5.14	0.825993339
5.15	0.824389468
5.16	0.822791814
5.17	0.82120034
5.18	0.819615012
5.19	0.818035792
5.2	0.816462646
5.21	0.814895539
5.22	0.813334437
5.23	0.811779304
5.24	0.810230107
5.25	0.808686811
5.26	0.807149384
5.27	0.805617791
5.28	0.804092
5.29	0.802571977
5.3	0.801057691
5.31	0.799549107
5.32	0.798046195
5.33	0.796548923
5.34	0.795057258
5.35	0.79357117
5.36	0.792090627
5.37	0.790615598
5.38	0.789146052
5.39	0.787681959
5.4	0.786223289
5.41	0.784770011
5.42	0.783322096
5.43	0.781879514
5.44	0.780442235
5.45	0.779010231
5.46	0.777583473
5.47	0.776161931
5.48	0.774745577
5.49	0.773334383
5.5	0.77192832
5.51	0.770527361
5.52	0.769131478
5.53	0.767740644
5.54	0.76635483
5.55	0.764974011
5.56	0.763598158
5.57	0.762227246
5.58	0.760861247
5.59	0.759500136
5.6	0.758143886
5.61	0.756792471
5.62	0.755445865
5.63	0.754104043
5.64	0.752766979
5.65	0.751434648
5.66	0.750107025
5.67	0.748784085
5.68	0.747465803
5.69	0.746152155
5.7	0.744843116
5.71	0.743538662
5.72	0.742238769
5.73	0.740943414
5.74	0.739652571
5.75	0.738366219
5.76	0.737084333
5.77	0.735806891
5.78	0.734533869
5.79	0.733265244
5.8	0.732000993
5.81	0.730741095
5.82	0.729485526
5.83	0.728234264
5.84	0.726987288
5.85	0.725744574
5.86	0.724506102
5.87	0.72327185
5.88	0.722041796
5.89	0.720815919
5.9	0.719594197
5.91	0.718376609
5.92	0.717163135
5.93	0.715953754
5.94	0.714748444
5.95	0.713547187
5.96	0.71234996
5.97	0.711156744
5.98	0.709967518
5.99	0.708782264
6	0.70760096
6.01	0.706423587
6.02	0.705250126
6.03	0.704080557
6.04	0.702914861
6.05	0.701753018
6.06	0.70059501
6.07	0.699440817
6.08	0.698290421
6.09	0.697143803
6.1	0.696000944
6.11	0.694861827
6.12	0.693726431
6.13	0.692594741
6.14	0.691466736
6.15	0.6903424
6.16	0.689221714
6.17	0.688104661
6.18	0.686991223
6.19	0.685881383
6.2	0.684775123
6.21	0.683672425
6.22	0.682573273
6.23	0.68147765
6.24	0.680385538
6.25	0.679296922
6.26	0.678211783
6.27	0.677130105
6.28	0.676051873
6.29	0.674977068
6.3	0.673905676
6.31	0.67283768
6.32	0.671773063
6.33	0.67071181
6.34	0.669653905
6.35	0.668599332
6.36	0.667548075
6.37	0.666500119
6.38	0.665455448
6.39	0.664414047
6.4	0.6633759
6.41	0.662340992
6.42	0.661309308
6.43	0.660280834
6.44	0.659255553
6.45	0.658233451
6.46	0.657214514
6.47	0.656198726
6.48	0.655186074
6.49	0.654176542
6.5	0.653170117
6.51	0.652166783
6.52	0.651166528
6.53	0.650169335
6.54	0.649175193
6.55	0.648184085
6.56	0.647196
6.57	0.646210922
6.58	0.645228839
6.59	0.644249736
6.6	0.6432736
6.61	0.642300418
6.62	0.641330175
6.63	0.64036286
6.64	0.639398458
6.65	0.638436956
6.66	0.637478342
6.67	0.636522603
6.68	0.635569725
6.69	0.634619695
6.7	0.633672501
6.71	0.632728131
6.72	0.631786571
6.73	0.63084781
6.74	0.629911834
6.75	0.628978631
6.76	0.628048189
6.77	0.627120496
6.78	0.62619554
6.79	0.625273308
6.8	0.624353788
6.81	0.623436969
6.82	0.622522839
6.83	0.621611385
6.84	0.620702596
6.85	0.619796461
6.86	0.618892968
6.87	0.617992105
6.88	0.61709386
6.89	0.616198224
6.9	0.615305183
6.91	0.614414726
6.92	0.613526844
6.93	0.612641524
6.94	0.611758755
6.95	0.610878527
6.96	0.610000828
6.97	0.609125647
6.98	0.608252974
6.99	0.607382798
7	0.606515109
7.01	0.605649894
7.02	0.604787145
7.03	0.603926851
7.04	0.603069
7.05	0.602213583
7.06	0.601360589
7.07	0.600510008
7.08	0.599661831
7.09	0.598816045
7.1	0.597972642
7.11	0.597131612
7.12	0.596292944
7.13	0.595456628
7.14	0.594622655
7.15	0.593791015
7.16	0.592961698
7.17	0.592134695
7.18	0.591309994
7.19	0.590487588
7.2	0.589667467
7.21	0.58884962
7.22	0.588034039
7.23	0.587220714
7.24	0.586409635
7.25	0.585600794
7.26	0.584794182
7.27	0.583989788
7.28	0.583187604
7.29	0.582387621
